dataset,measurement,term,coef,pvalue,r_squared,adj_r_squared
dad,predicted_total_mg_ml_delta,Intercept,0.036169263186331936,0.057528606854054976,0.291944375906974,0.21024565005008633
dad,predicted_total_mg_ml_delta,p_uva_mw_cm2,0.052856565148107056,0.24089305723052087,0.291944375906974,0.21024565005008633
dad,predicted_total_mg_ml_delta,p_uvb_mw_cm2,0.08044233537395185,0.38838384985868146,0.291944375906974,0.21024565005008633
dad,predicted_total_mg_ml_delta,p_uva_mw_cm2:p_uvb_mw_cm2,-0.06706842386741624,0.14658096317628472,0.291944375906974,0.21024565005008633
dad,predicted_total_mg_per_gDW_delta,Intercept,0.4932073269824921,0.043948268420915954,0.3350363629838371,0.25830978948197214
dad,predicted_total_mg_per_gDW_delta,p_uva_mw_cm2,0.7348637782256172,0.20371621772382387,0.3350363629838371,0.25830978948197214
dad,predicted_total_mg_per_gDW_delta,p_uvb_mw_cm2,1.745593492578502,0.14891466748756352,0.3350363629838371,0.25830978948197214
dad,predicted_total_mg_per_gDW_delta,p_uva_mw_cm2:p_uvb_mw_cm2,-1.1858137898316548,0.04878333265307049,0.3350363629838371,0.25830978948197214
dad,predicted_oxidized_mg_ml_delta,Intercept,0.02924264501762007,0.09393401450643568,0.1911944528634234,0.09787073588612605
dad,predicted_oxidized_mg_ml_delta,p_uva_mw_cm2,0.06999591716941272,0.09733840499869305,0.1911944528634234,0.09787073588612605
dad,predicted_oxidized_mg_ml_delta,p_uvb_mw_cm2,0.002390760930414175,0.9777073980978574,0.1911944528634234,0.09787073588612605
dad,predicted_oxidized_mg_ml_delta,p_uva_mw_cm2:p_uvb_mw_cm2,-0.07605114719830847,0.07778522179707745,0.1911944528634234,0.09787073588612605
dad,predicted_oxidized_mg_per_gDW_delta,Intercept,0.3389885226944712,0.16004907850186076,0.20735562355756798,0.11589665704497965
dad,predicted_oxidized_mg_per_gDW_delta,p_uva_mw_cm2,0.9712574738045288,0.09870132407130182,0.20735562355756798,0.11589665704497965
dad,predicted_oxidized_mg_per_gDW_delta,p_uvb_mw_cm2,0.414429820101877,0.7284506040469354,0.20735562355756798,0.11589665704497965
dad,predicted_oxidized_mg_per_gDW_delta,p_uva_mw_cm2:p_uvb_mw_cm2,-1.1894944211226472,0.049444092416049225,0.20735562355756798,0.11589665704497965
dad,predicted_reduced_mg_ml_delta,Intercept,0.012652889658704584,0.6741103657448844,0.21195013074204105,0.12102129967381503
dad,predicted_reduced_mg_ml_delta,p_uva_mw_cm2,0.028132109426624058,0.6991266580902,0.21195013074204105,0.12102129967381503
dad,predicted_reduced_mg_ml_delta,p_uvb_mw_cm2,0.09150770510393284,0.546810518243104,0.21195013074204105,0.12102129967381503
dad,predicted_reduced_mg_ml_delta,p_uva_mw_cm2:p_uvb_mw_cm2,-0.02584175031488796,0.7271160950221734,0.21195013074204105,0.12102129967381503
dad,predicted_reduced_mg_per_gDW_delta,Intercept,0.0024450597780174346,0.9949515033212273,0.20233656573754755,0.11029847716880303
dad,predicted_reduced_mg_per_gDW_delta,p_uva_mw_cm2,0.3512630761557274,0.7075452538747713,0.20233656573754755,0.11029847716880303
dad,predicted_reduced_mg_per_gDW_delta,p_uvb_mw_cm2,2.0223763036090174,0.3039069122227398,0.20233656573754755,0.11029847716880303
dad,predicted_reduced_mg_per_gDW_delta,p_uva_mw_cm2:p_uvb_mw_cm2,-0.6402810928150982,0.5028977044133134,0.20233656573754755,0.11029847716880303
