wavelength_nm,normalized
300.04,0.08450074025960169
300.371,0.08064507231851195
300.701,0.08505337683540456
301.031,0.09321692938242568
301.362,0.09898478684435465
301.692,0.10068060485860165
302.022,0.09711313634809896
302.352,0.09119183416623251
302.682,0.08773952510229283
303.012,0.08587704055811872
303.342,0.08692762087318592
303.672,0.09060419055283682
304.002,0.09542991908109484
304.332,0.09789703312025923
304.662,0.09809972022937602
304.992,0.09682779059669169
305.321,0.0965540712615315
305.651,0.09629354547946586
305.98,0.09654181844471911
306.31,0.09800977714920363
306.639,0.09563572575565815
306.969,0.09381190018473258
307.298,0.09504059046991156
307.628,0.09651248093636655
307.957,0.09912873412591221
308.286,0.10386738482271846
308.615,0.10585149147850619
308.944,0.10521303270009677
309.273,0.10571178711589083
309.602,0.10625622475860702
309.931,0.10726739013093538
310.26,0.10888725319931329
310.589,0.11135764682887266
310.918,0.11192328884538576
311.247,0.11129827579055358
311.575,0.11297759784144437
311.904,0.11414748658510174
312.233,0.11092061113735867
312.561,0.11152625050759922
312.89,0.11752572101806073
313.218,0.12067431136321387
313.546,0.12185841864038797
313.875,0.1193649975951388
314.203,0.11277479781502972
314.531,0.10947849593799436
314.859,0.11272685018457972
315.188,0.11614828744462706
315.516,0.11838460366202382
315.844,0.12113713601808057
316.172,0.1227208627138558
316.5,0.1237601908349063
316.827,0.12511840742132418
317.155,0.12489513296456073
317.483,0.12320710929582708
317.811,0.12155826404639798
318.138,0.11919480657415718
318.466,0.118187945680458
318.794,0.12104259057493243
319.121,0.12396166959115115
319.449,0.12394088674992171
319.776,0.12438177456696729
320.103,0.12535512463143206
320.431,0.12572134509458718
320.758,0.12732718606116286
321.085,0.12821455727785014
321.412,0.12777236872916395
321.739,0.12728890038833854
322.066,0.12679174523955855
322.393,0.12613672095128767
322.72,0.127499630035189
323.047,0.1295547670677248
323.374,0.1311244942632291
323.701,0.13155279535138498
324.028,0.12921520343632106
324.354,0.12811787548294495
324.681,0.12965558610924116
325.008,0.1301590617024284
325.334,0.13061484311309182
325.661,0.1325021703946374
325.987,0.13276952758201213
326.314,0.13404399022074456
326.64,0.1350498554921967
326.966,0.13378717170893817
327.293,0.13276885852933754
327.619,0.1327028520045206
327.945,0.1332516199868939
328.271,0.1343529087046407
328.597,0.13493386860309475
328.923,0.13450140901486785
329.249,0.13294661926649745
329.575,0.13130661549863742
329.901,0.132124739838144
330.227,0.13418854692557167
330.552,0.13576007309042357
330.878,0.135410999670064
331.204,0.13404655013755168
331.529,0.1348685514937539
331.855,0.13680714221757967
332.18,0.13614959489321465
332.506,0.13524958804271042
332.831,0.13450071928061388
333.156,0.13383559553089344
333.482,0.13573278237676134
333.807,0.13744707740352058
334.132,0.1368317011065954
334.457,0.13664467103338543
334.782,0.1364803188924622
335.107,0.13466210579285603
335.432,0.13286707706603368
335.757,0.132326898620435
336.082,0.13272982542630699
336.407,0.13420583656796192
336.732,0.1354498587276008
337.057,0.13556520838228664
337.381,0.1355472753690006
337.706,0.13511942132055407
338.031,0.1348213001580216
338.355,0.13541807255063593
338.68,0.13754644188121207
339.004,0.13957162185177838
339.329,0.13976092332173756
339.653,0.13890123784711245
339.977,0.13777514017610132
340.301,0.13685188085647196
340.626,0.13744796058484135
340.95,0.13795235689349056
341.274,0.1378103966244622
341.598,0.13852824920079793
341.922,0.1396407787911964
342.246,0.14077491883391932
342.57,0.14109870584800344
342.894,0.14147615370860922
343.218,0.14198618309637923
343.541,0.14177013243943037
343.865,0.14209608302760424
344.189,0.1425400765669449
344.512,0.14187599375594334
344.836,0.14169177710896808
345.159,0.14082215681225088
